,rouge_distilbart,rouge_gpt2,rouge_t5
0,"[{'rouge-1': {'r': 0.2549019607843137, 'p': 0.3939393939393939, 'f': 0.3095238047534014}, 'rouge-2': {'r': 0.11666666666666667, 'p': 0.21212121212121213, 'f': 0.1505376298300383}, 'rouge-l': {'r': 0.23529411764705882, 'p': 0.36363636363636365, 'f': 0.28571428094387763}}]","[{'rouge-1': {'r': 0.25, 'p': 0.3333333333333333, 'f': 0.2857142808163266}, 'rouge-2': {'r': 0.11538461538461539, 'p': 0.18181818181818182, 'f': 0.14117646583806245}, 'rouge-l': {'r': 0.22727272727272727, 'p': 0.30303030303030304, 'f': 0.2597402548423006}}]","[{'rouge-1': {'r': 0.28846153846153844, 'p': 0.45454545454545453, 'f': 0.3529411717204152}, 'rouge-2': {'r': 0.11290322580645161, 'p': 0.21212121212121213, 'f': 0.1473684165185597}, 'rouge-l': {'r': 0.2692307692307692, 'p': 0.42424242424242425, 'f': 0.3294117599557094}}]"
1,"[{'rouge-1': {'r': 0.29411764705882354, 'p': 0.45454545454545453, 'f': 0.357142852372449}, 'rouge-2': {'r': 0.13559322033898305, 'p': 0.23529411764705882, 'f': 0.17204300611400172}, 'rouge-l': {'r': 0.23529411764705882, 'p': 0.36363636363636365, 'f': 0.28571428094387763}}]","[{'rouge-1': {'r': 0.24324324324324326, 'p': 0.5454545454545454, 'f': 0.3364485938649664}, 'rouge-2': {'r': 0.06521739130434782, 'p': 0.17647058823529413, 'f': 0.09523809129755623}, 'rouge-l': {'r': 0.21621621621621623, 'p': 0.48484848484848486, 'f': 0.299065416294873}}]","[{'rouge-1': {'r': 0.17073170731707318, 'p': 0.21212121212121213, 'f': 0.18918918424762612}, 'rouge-2': {'r': 0.06521739130434782, 'p': 0.08823529411764706, 'f': 0.07499999511250031}, 'rouge-l': {'r': 0.17073170731707318, 'p': 0.21212121212121213, 'f': 0.18918918424762612}}]"
2,"[{'rouge-1': {'r': 0.46875, 'p': 0.5263157894736842, 'f': 0.49586776361177515}, 'rouge-2': {'r': 0.16, 'p': 0.19047619047619047, 'f': 0.17391303851606818}, 'rouge-l': {'r': 0.46875, 'p': 0.5263157894736842, 'f': 0.49586776361177515}}]","[{'rouge-1': {'r': 0.21008403361344538, 'p': 0.43859649122807015, 'f': 0.28409090471138954}, 'rouge-2': {'r': 0.044585987261146494, 'p': 0.1111111111111111, 'f': 0.06363635954917382}, 'rouge-l': {'r': 0.18487394957983194, 'p': 0.38596491228070173, 'f': 0.24999999562048042}}]","[{'rouge-1': {'r': 0.5, 'p': 0.5263157894736842, 'f': 0.5128205078238003}, 'rouge-2': {'r': 0.1780821917808219, 'p': 0.20634920634920634, 'f': 0.1911764656152683}, 'rouge-l': {'r': 0.4666666666666667, 'p': 0.49122807017543857, 'f': 0.47863247363576594}}]"
3,"[{'rouge-1': {'r': 0.24528301886792453, 'p': 0.29545454545454547, 'f': 0.26804123215644604}, 'rouge-2': {'r': 0.01639344262295082, 'p': 0.02127659574468085, 'f': 0.018518513602539026}, 'rouge-l': {'r': 0.22641509433962265, 'p': 0.2727272727272727, 'f': 0.2474226754554151}}]","[{'rouge-1': {'r': 0.09734513274336283, 'p': 0.25, 'f': 0.14012738450079124}, 'rouge-2': {'r': 0.007194244604316547, 'p': 0.02127659574468085, 'f': 0.010752684395307141}, 'rouge-l': {'r': 0.08849557522123894, 'p': 0.22727272727272727, 'f': 0.12738853099760652}}]","[{'rouge-1': {'r': 0.42, 'p': 0.4772727272727273, 'f': 0.44680850565866914}, 'rouge-2': {'r': 0.24074074074074073, 'p': 0.2765957446808511, 'f': 0.25742573759827475}, 'rouge-l': {'r': 0.4, 'p': 0.45454545454545453, 'f': 0.4255319099139883}}]"
4,"[{'rouge-1': {'r': 0.3137254901960784, 'p': 0.2807017543859649, 'f': 0.29629629131172847}, 'rouge-2': {'r': 0.1206896551724138, 'p': 0.11666666666666667, 'f': 0.11864406279804676}, 'rouge-l': {'r': 0.3137254901960784, 'p': 0.2807017543859649, 'f': 0.29629629131172847}}]","[{'rouge-1': {'r': 0.16666666666666666, 'p': 0.2807017543859649, 'f': 0.20915032212226078}, 'rouge-2': {'r': 0.03389830508474576, 'p': 0.06666666666666667, 'f': 0.04494381575558686}, 'rouge-l': {'r': 0.15625, 'p': 0.2631578947368421, 'f': 0.19607842669742417}}]","[{'rouge-1': {'r': 0.26666666666666666, 'p': 0.21052631578947367, 'f': 0.23529411271626308}, 'rouge-2': {'r': 0.10909090909090909, 'p': 0.1, 'f': 0.10434782109640856}, 'rouge-l': {'r': 0.2222222222222222, 'p': 0.17543859649122806, 'f': 0.1960784264417533}}]"
5,"[{'rouge-1': {'r': 0.37777777777777777, 'p': 0.4722222222222222, 'f': 0.41975308148148155}, 'rouge-2': {'r': 0.125, 'p': 0.1794871794871795, 'f': 0.14736841621274252}, 'rouge-l': {'r': 0.37777777777777777, 'p': 0.4722222222222222, 'f': 0.41975308148148155}}]","[{'rouge-1': {'r': 0.26, 'p': 0.3611111111111111, 'f': 0.30232557652785297}, 'rouge-2': {'r': 0.07692307692307693, 'p': 0.10256410256410256, 'f': 0.087912083014129}, 'rouge-l': {'r': 0.2, 'p': 0.2777777777777778, 'f': 0.2325581346673879}}]","[{'rouge-1': {'r': 0.2978723404255319, 'p': 0.3888888888888889, 'f': 0.3373493926781827}, 'rouge-2': {'r': 0.09090909090909091, 'p': 0.1282051282051282, 'f': 0.10638297386826641}, 'rouge-l': {'r': 0.2978723404255319, 'p': 0.3888888888888889, 'f': 0.3373493926781827}}]"
6,"[{'rouge-1': {'r': 0.25, 'p': 0.35, 'f': 0.2916666618055556}, 'rouge-2': {'r': 0.1, 'p': 0.15, 'f': 0.1199999952000002}, 'rouge-l': {'r': 0.25, 'p': 0.35, 'f': 0.2916666618055556}}]","[{'rouge-1': {'r': 0.08045977011494253, 'p': 0.35, 'f': 0.13084111845576038}, 'rouge-2': {'r': 0.017857142857142856, 'p': 0.1, 'f': 0.030303027731864315}, 'rouge-l': {'r': 0.08045977011494253, 'p': 0.35, 'f': 0.13084111845576038}}]","[{'rouge-1': {'r': 0.16, 'p': 0.4, 'f': 0.22857142448979595}, 'rouge-2': {'r': 0.03508771929824561, 'p': 0.1, 'f': 0.05194804810254709}, 'rouge-l': {'r': 0.12, 'p': 0.3, 'f': 0.17142856734693887}}]"
7,"[{'rouge-1': {'r': 0.4375, 'p': 0.45652173913043476, 'f': 0.44680850564056135}, 'rouge-2': {'r': 0.32653061224489793, 'p': 0.32653061224489793, 'f': 0.32653060724489796}, 'rouge-l': {'r': 0.4375, 'p': 0.45652173913043476, 'f': 0.44680850564056135}}]","[{'rouge-1': {'r': 0.20618556701030927, 'p': 0.43478260869565216, 'f': 0.2797202753562522}, 'rouge-2': {'r': 0.09375, 'p': 0.24489795918367346, 'f': 0.13559321633502516}, 'rouge-l': {'r': 0.1958762886597938, 'p': 0.41304347826086957, 'f': 0.2657342613702382}}]","[{'rouge-1': {'r': 0.17857142857142858, 'p': 0.21739130434782608, 'f': 0.19607842642060758}, 'rouge-2': {'r': 0.015873015873015872, 'p': 0.02040816326530612, 'f': 0.01785713793526921}, 'rouge-l': {'r': 0.14285714285714285, 'p': 0.17391304347826086, 'f': 0.1568627401460978}}]"
8,"[{'rouge-1': {'r': 0.5142857142857142, 'p': 0.4090909090909091, 'f': 0.455696197596539}, 'rouge-2': {'r': 0.15789473684210525, 'p': 0.11320754716981132, 'f': 0.13186812700398517}, 'rouge-l': {'r': 0.5142857142857142, 'p': 0.4090909090909091, 'f': 0.455696197596539}}]","[{'rouge-1': {'r': 0.21621621621621623, 'p': 0.36363636363636365, 'f': 0.27118643600114917}, 'rouge-2': {'r': 0.045454545454545456, 'p': 0.07547169811320754, 'f': 0.05673758396056575}, 'rouge-l': {'r': 0.21621621621621623, 'p': 0.36363636363636365, 'f': 0.27118643600114917}}]","[{'rouge-1': {'r': 0.2, 'p': 0.20454545454545456, 'f': 0.20224718601186734}, 'rouge-2': {'r': 0.018867924528301886, 'p': 0.018867924528301886, 'f': 0.01886791952830321}, 'rouge-l': {'r': 0.2, 'p': 0.20454545454545456, 'f': 0.20224718601186734}}]"
9,"[{'rouge-1': {'r': 0.3023255813953488, 'p': 0.2826086956521739, 'f': 0.29213482646635525}, 'rouge-2': {'r': 0.019230769230769232, 'p': 0.0196078431372549, 'f': 0.019417470728627925}, 'rouge-l': {'r': 0.27906976744186046, 'p': 0.2608695652173913, 'f': 0.26966291635399575}}]","[{'rouge-1': {'r': 0.17647058823529413, 'p': 0.45652173913043476, 'f': 0.2545454505241507}, 'rouge-2': {'r': 0.03205128205128205, 'p': 0.09803921568627451, 'f': 0.04830917503045608}, 'rouge-l': {'r': 0.15126050420168066, 'p': 0.391304347826087, 'f': 0.2181818141605143}}]","[{'rouge-1': {'r': 0.275, 'p': 0.2391304347826087, 'f': 0.2558139485127096}, 'rouge-2': {'r': 0.05172413793103448, 'p': 0.058823529411764705, 'f': 0.055045866580254635}, 'rouge-l': {'r': 0.275, 'p': 0.2391304347826087, 'f': 0.2558139485127096}}]"
